"";"rp.object@id";"score";"percentile"
"401";1274;0,0202080419226013;23
"402";1277;0,0301892680542106;41
"403";1280;0,0169613209268382;15
"404";1282;0,0163925378580551;14
"405";1283;0,0380782657104496;55
"406";1290;0,00911923006750593;0
"407";1291;0,0113669950738916;2
"408";1292;0,0841530561710055;89
"409";1294;0,0188148530198339;20
"410";1300;0,023283519954851;28
"411";1303;0,024301273084798;32
"412";1305;0,0164719536175475;14
"413";1306;0,0461081342384024;67
"414";1308;0,016360153256705;14
"415";1309;0,0451470140828378;66
"416";1312;0,0338020387445675;48
"417";1316;0,0243390804597701;32
"418";1321;0,0130665024630542;5
"419";1323;0,017662480488151;17
"420";1324;0,0645516832070639;82
"421";1331;0,0289187020585488;40
"422";1334;0,0164714974964017;14
"423";1335;0,0363481553213354;53
"424";1337;0,0147327130085751;10
"425";1343;0,0155916398061992;12
"426";1346;0,0191135593511072;20
"427";1349;0,0378750329420827;55
"428";1352;0,0191151249771939;21
"429";1353;0,0201929392446634;23
"430";1359;0,0186212471365728;19
"431";1365;0,0311988216480554;44
"432";1370;0,0350718800144087;50
"433";1374;0,0362861358291143;52
"434";1375;0,0180858115915587;18
"435";1376;0,0189799688746049;20
"436";1377;0,0125369458128079;4
"437";1378;0,0140066188246265;8
"438";1380;0,032828914026232;45
"439";1381;0,0132850351720084;6
"440";1383;0,0288438342557116;40
"441";1385;0,0213387662429808;25
"442";1392;0,0905172538575004;91
"443";1406;0,0195602992154716;22
"444";1407;0,0227276044517424;27
"445";1412;0,0193268158689615;21
"446";1414;0,0167957489509214;15
"447";1417;0,0287230260870108;39
"448";1419;0,0180524640677897;18
"449";1421;0,0149311257069878;11
"450";1422;0,0102234993614304;1
"451";1425;0,0123527235500416;4
"452";1428;0,0198906322852683;22
"453";1429;1;99
"454";1433;0,169637554323503;96
"455";1434;0,0190132863801446;20
"456";1437;0,0201678525816457;23
"457";1438;0,0314308730860455;44
"458";1439;0,0119759674836303;3
"459";1440;0,08321043888152;89
"460";1442;0,0151432727199011;11
"461";1448;0,0158258911515617;13
"462";1453;0,0891025882761682;91
"463";1456;0,0389703879914608;57
"464";1458;0,0130724320379493;5
"465";1464;0,0517002782355939;73
"466";1468;0,0848771055481867;90
"467";1473;0,0704187059231204;84
"468";1475;0,0301016214521962;41
"469";1477;0,0194202700237183;21
"470";1479;0,0248120858848828;32
"471";1481;0,0480806606600376;69
"472";1482;0,0220796215987787;27
"473";1483;0,0259773717130039;34
"474";1486;0,0369560864493815;53
"475";1489;0,0232303513146425;28
"476";1492;0,0260081290924203;34
"477";1495;0,0485220493640034;70
"478";1498;0,0345349217264926;49
"479";1501;0,0535190409152178;74
"480";1508;0,0117633643495712;3
"481";1511;0,0731008266139867;85
"482";1515;0,0634345061315743;82
"483";1519;0,0859024352400581;90
"484";1520;0,0303713839729165;42
"485";1567;0,0207930504290658;24
"486";1568;0,0397037283241681;59
"487";1570;0,0352902450890957;50
"488";1572;0,04210593978889;62
"489";1576;0,0151628859291695;11
"490";1578;0,0207564009000791;24
"491";1579;0,0183101218350261;18
"492";1581;0,029032240747758;40
"493";1582;0,0468377734209818;68
"494";1584;0,026317277869002;35
"495";1585;0,0342203421081482;49
"496";1586;0,0393463861950452;58
"497";1588;0,109388707890334;94
"498";1590;0,0520926519094518;73
"499";1591;0,0422956122332268;62
"500";1592;0,0303556279111835;42
"501";1593;0,0192223134464514;21
"502";1594;0,0155122240467068;12
"503";1596;0,059933448145009;79
"504";1597;0,0482525250999764;70
"505";1598;0,0346399738334604;49
"506";1599;0,0520785428917613;73
"507";1600;0,0330686466222865;45
"508";1606;0,0306751099758763;43
"509";1607;0,0233586281747201;29
"510";1608;0,0400805814024205;59
"511";1609;0,0363767389131374;53
"512";1610;0,0570331697534763;77
"513";1613;0,0586771613514908;78
"514";1615;0,0332415933364209;46
"515";1616;0,014600944677573;9
"516";1624;0,0153225283301912;12
"517";1625;0,0278085460729139;37
"518";1630;0,0220046095525023;26
"519";1631;0,0262750236264313;34
"520";1649;0,0213725698878956;25
"521";1650;0,0144417583976971;9
"522";1654;0,0152882685641306;11
"523";1657;0,0214833059660646;26
"524";1659;0,0241583122426034;31
